,statefp,name,state_name,LON,LAT
1933,34,Union,New Jersey,-74.30676221,-74.30676221
1934,1,Talladega,Alabama,-86.16885637,-86.16885637
1935,19,Dallas,Iowa,-94.04365185,-94.04365185
1936,21,Wolfe,Kentucky,-83.49303612,-83.49303612
1937,27,Chippewa,Minnesota,-95.56403693,-95.56403693
1938,20,Morris,Kansas,-96.65128437,-96.65128437
1939,39,Hocking,Ohio,-82.47728677,-82.47728677
1940,55,Waupaca,Wisconsin,-88.96534501,-88.96534501
1941,5,Monroe,Arkansas,-91.20523126,-91.20523126
1942,13,Gordon,Georgia,-84.87290041,-84.87290041
1943,19,Pocahontas,Iowa,-94.67862564,-94.67862564
1944,22,Acadia,Louisiana,-92.41118978,-92.41118978
1945,29,Henry,Missouri,-93.79293734,-93.79293734
1946,47,Union,Tennessee,-83.83651902,-83.83651902
1947,51,James City,Virginia,-76.76945971,-76.76945971
1948,35,Grant,New Mexico,-108.382107,-108.382107
1949,18,Decatur,Indiana,-85.50087166,-85.50087166
1950,28,Oktibbeha,Mississippi,-88.87905132,-88.87905132
1951,31,Thomas,Nebraska,-100.5556632,-100.5556632
1952,31,Seward,Nebraska,-97.139673,-97.139673
1953,31,Merrick,Nebraska,-98.0374887,-98.0374887
1954,48,Mason,Texas,-99.22626379,-99.22626379
1955,51,Stafford,Virginia,-77.45904111,-77.45904111
1956,51,Salem,Virginia,-80.05862882,-80.05862882
1957,54,Hancock,West Virginia,-80.57461608,-80.57461608
1958,27,Pennington,Minnesota,-96.0370814,-96.0370814
1959,28,Lamar,Mississippi,-89.5077704,-89.5077704
1960,31,Valley,Nebraska,-98.98197724,-98.98197724
1961,35,Doña Ana,New Mexico,-106.8329387,-106.8329387
1962,36,Ulster,New York,-74.26252104,-74.26252104
1963,37,Granville,North Carolina,-78.65184241,-78.65184241
1964,48,Hays,Texas,-98.02944344,-98.02944344
1965,48,Maverick,Texas,-100.3157687,-100.3157687
1966,28,Kemper,Mississippi,-88.64105766,-88.64105766
1967,46,Hyde,South Dakota,-99.48572582,-99.48572582
1968,48,Madison,Texas,-95.92916253,-95.92916253
1969,47,Hamblen,Tennessee,-83.26586179,-83.26586179
1970,29,Dallas,Missouri,-93.02127031,-93.02127031
1971,51,Richmond,Virginia,-76.72920628,-76.72920628
1972,18,Hendricks,Indiana,-86.51037283,-86.51037283
1973,13,Rockdale,Georgia,-84.02235559,-84.02235559
1974,51,Patrick,Virginia,-80.2865648,-80.2865648
1975,42,Jefferson,Pennsylvania,-78.99863037,-78.99863037
1976,29,McDonald,Missouri,-94.34867205,-94.34867205
1977,51,Spotsylvania,Virginia,-77.65565114,-77.65565114
1978,48,Rockwall,Texas,-96.40771592,-96.40771592
1979,51,Arlington,Virginia,-77.10140212,-77.10140212
1980,56,Sheridan,Wyoming,-106.8862389,-106.8862389
1981,51,Clarke,Virginia,-77.99274632,-77.99274632
1982,29,Butler,Missouri,-90.40421163,-90.40421163
1983,44,Providence,Rhode Island,-71.57758984,-71.57758984
1984,53,Whitman,Washington,-117.5241763,-117.5241763
1985,48,Trinity,Texas,-95.1367187,-95.1367187
1986,51,Alexandria,Virginia,-77.08185337,-77.08185337
1987,12,Indian River,Florida,-80.60556721,-80.60556721
1988,28,Smith,Mississippi,-89.50644846,-89.50644846
1989,13,Whitfield,Georgia,-84.96093476,-84.96093476
1990,24,Caroline,Maryland,-75.82904158,-75.82904158
1991,36,Montgomery,New York,-74.44011632,-74.44011632
1992,18,Jefferson,Indiana,-85.43633383,-85.43633383
